predictor,decile,mean_importance,mean_predictor,n,filename,model
cbs_age,0,-0.04228967316588213,0.5661830939174135,534,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,1,-0.03277448137229848,0.6025553058085885,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,2,-0.028175475218585717,0.6021530817461257,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,3,-0.024370500083281614,0.5950313498166335,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,4,-0.020057840436418478,0.584407902519815,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,5,-0.013984575895505532,0.5171891636105531,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,6,-0.002095408305943569,0.4226191884538028,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,7,0.022871035281742846,0.32946882763515906,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,8,0.04706424820088895,0.24623210694427997,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_age,9,0.07709242205753504,0.1369454631491777,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,0,-0.023111670204762663,0.05711736743990465,534,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,1,-0.011778632725510642,0.05404290304915216,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,2,-0.007531495851891063,0.05201668859490618,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,3,-0.004735057153434397,0.05180870445980969,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,4,-0.002411255881051037,0.052521008078334486,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,5,-0.00022331621045264128,0.051485923744343264,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,6,0.0020091092475106784,0.05205520247426973,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,7,0.004622750861622463,0.053169154244958654,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,8,0.009607790118065949,0.05265978518935693,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_change_purch_power,9,0.02704883646742206,0.05361844850283541,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_gender_2_cat_None,0,0.0,,534,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
cbs_gender_2_cat_None,1,0.0,,535,cv24p013_trust_government_xgb_covariates_collapsed_2022_len20_window2_walks100_dim32_feature_importance.csv,covariates
